126: ( 0, 0) = 1
1441: ( 868, 434) = inf
1457: ( 870, 435) = inf
1458: ( 872, 436) = inf
1459: ( 874, 437) = inf
1460: ( 876, 438) = inf
1461: ( 878, 439) = inf
1462: ( 880, 440) = inf
1463: ( 882, 441) = inf
1465: ( 884, 442) = inf
1467: ( 886, 443) = inf
1474: ( 888, 444) = inf
1480: ( 890, 445) = inf
1487: ( 892, 446) = inf
1488: ( 894, 447) = inf
1489: ( 896, 448) = inf
1490: ( 898, 449) = inf
1491: ( 900, 450) = inf
1492: ( 902, 451) = inf
1495: ( 904, 452) = inf
1496: ( 906, 453) = inf
1497: ( 908, 454) = inf
1498: ( 910, 455) = inf
1499: ( 912, 456) = inf
1517: ( 914, 457) = inf
1518: ( 916, 458) = inf
1533: ( 918, 459) = inf
1546: ( 920, 460) = inf
1548: ( 922, 461) = inf
1550: ( 924, 462) = inf
1551: ( 926, 463) = inf
1557: ( 928, 464) = inf
1560: ( 930, 465) = inf
1561: ( 932, 466) = inf
1562: ( 934, 467) = inf
1564: ( 936, 468) = inf
1575: ( 938, 469) = inf
1576: ( 940, 470) = inf
1577: ( 942, 471) = inf
1578: ( 944, 472) = inf
1579: ( 946, 473) = inf
1580: ( 948, 474) = inf
1581: ( 950, 475) = inf
1582: ( 952, 476) = inf
1584: ( 954, 477) = inf
1585: ( 956, 478) = inf
1586: ( 958, 479) = inf
1587: ( 960, 480) = inf
1588: ( 962, 481) = inf
1589: ( 964, 482) = inf
1590: ( 966, 483) = inf
1591: ( 968, 484) = inf
1592: ( 970, 485) = inf
1595: ( 972, 486) = inf
1596: ( 974, 487) = inf
1614: ( 976, 488) = inf
1620: ( 978, 489) = inf
1621: ( 980, 490) = inf
1622: ( 982, 491) = inf
1623: ( 984, 492) = inf
1658: ( 986, 493) = inf
1662: ( 988, 494) = inf
1668: ( 990, 495) = inf
1673: ( 992, 496) = inf
1676: ( 994, 497) = inf
1680: ( 996, 498) = inf
1686: ( 998, 499) = inf
1688: ( 1000, 500) = inf
1689: ( 1002, 501) = inf
1690: ( 1004, 502) = inf
1691: ( 1006, 503) = inf
1692: ( 1008, 504) = inf
1693: ( 1010, 505) = inf
1694: ( 1012, 506) = inf
1695: ( 1014, 507) = inf
1696: ( 1016, 508) = inf
1697: ( 1018, 509) = inf
1698: ( 1020, 510) = inf
1699: ( 1022, 511) = inf
1700: ( 1024, 512) = inf
1730: ( 1026, 513) = inf
1733: ( 1028, 514) = inf
1734: ( 1030, 515) = inf
1735: ( 1032, 516) = inf
1737: ( 1034, 517) = inf
1738: ( 1036, 518) = inf
1740: ( 1038, 519) = inf
1742: ( 1040, 520) = inf
1744: ( 1042, 521) = inf
1746: ( 1044, 522) = inf
1748: ( 1046, 523) = inf
1754: ( 1048, 524) = inf
1755: ( 1050, 525) = inf
1758: ( 1052, 526) = inf
1765: ( 1054, 527) = inf
1766: ( 1056, 528) = inf
1767: ( 1058, 529) = inf
1768: ( 1060, 530) = inf
1769: ( 1062, 531) = inf
1770: ( 1064, 532) = inf
1771: ( 1066, 533) = inf
1772: ( 1068, 534) = inf
1773: ( 1070, 535) = inf
1774: ( 1072, 536) = inf
1775: ( 1074, 537) = inf
1776: ( 1076, 538) = inf
1808: ( 1078, 539) = inf
1810: ( 1080, 540) = inf
1811: ( 1082, 541) = inf
1812: ( 1084, 542) = inf
1813: ( 1086, 543) = inf
1814: ( 1088, 544) = inf
1815: ( 1090, 545) = inf
1816: ( 1092, 546) = inf
1817: ( 1094, 547) = inf
1819: ( 1096, 548) = inf
1821: ( 1098, 549) = inf
1823: ( 1100, 550) = inf
1827: ( 1102, 551) = inf
1837: ( 1104, 552) = inf
1842: ( 1106, 553) = inf
1844: ( 1108, 554) = inf
1847: ( 1110, 555) = inf
1848: ( 1112, 556) = inf
1861: ( 1114, 557) = inf
1862: ( 1116, 558) = inf
1863: ( 1118, 559) = inf
1869: ( 1120, 560) = inf
1870: ( 1122, 561) = inf
1871: ( 1124, 562) = inf
1872: ( 1126, 563) = inf
1873: ( 1128, 564) = inf
1874: ( 1130, 565) = inf
1875: ( 1132, 566) = inf
1877: ( 1134, 567) = inf
1878: ( 1136, 568) = inf
1880: ( 1138, 569) = inf
1882: ( 1140, 570) = inf
1884: ( 1142, 571) = inf
1886: ( 1144, 572) = inf
1887: ( 1146, 573) = inf
1891: ( 1148, 574) = inf
1893: ( 1150, 575) = inf
1899: ( 1152, 576) = inf
1906: ( 1154, 577) = inf
1931: ( 1156, 578) = inf
1932: ( 1158, 579) = inf
1933: ( 1160, 580) = inf
1934: ( 1162, 581) = inf
1935: ( 1164, 582) = inf
1936: ( 1166, 583) = inf
1937: ( 1168, 584) = inf
1938: ( 1170, 585) = inf
1939: ( 1172, 586) = inf
1940: ( 1174, 587) = inf
1941: ( 1176, 588) = inf
1942: ( 1178, 589) = inf
1943: ( 1180, 590) = inf
1944: ( 1182, 591) = inf
1947: ( 1184, 592) = inf
1948: ( 1186, 593) = inf
1949: ( 1188, 594) = inf
1950: ( 1190, 595) = inf
1975: ( 1192, 596) = inf
1976: ( 1194, 597) = inf
1985: ( 1196, 598) = inf
1986: ( 1198, 599) = inf
1987: ( 1200, 600) = inf
1988: ( 1202, 601) = inf
1989: ( 1204, 602) = inf
1990: ( 1206, 603) = inf
1991: ( 1208, 604) = inf
1992: ( 1210, 605) = inf
1993: ( 1212, 606) = inf
1996: ( 1214, 607) = inf
1997: ( 1216, 608) = inf
1998: ( 1218, 609) = inf
1999: ( 1220, 610) = inf
2000: ( 1222, 611) = inf
2001: ( 1224, 612) = inf
2002: ( 1226, 613) = inf
2003: ( 1228, 614) = inf
2008: ( 1230, 615) = inf
2009: ( 1232, 616) = inf
2010: ( 1234, 617) = inf
2011: ( 1236, 618) = inf
2013: ( 1238, 619) = inf
2014: ( 1240, 620) = inf
2015: ( 1242, 621) = inf
2031: ( 1244, 622) = inf
2033: ( 1246, 623) = inf
2035: ( 1248, 624) = inf
2036: ( 1250, 625) = inf
2037: ( 1252, 626) = inf
2038: ( 1254, 627) = inf
2039: ( 1256, 628) = inf
2040: ( 1258, 629) = inf
2044: ( 1260, 630) = inf
2045: ( 1262, 631) = inf
2046: ( 1264, 632) = inf
2047: ( 1266, 633) = inf
2048: ( 1268, 634) = inf
2050: ( 1270, 635) = inf
2051: ( 1272, 636) = inf
2052: ( 1274, 637) = inf
2053: ( 1276, 638) = inf
2055: ( 1278, 639) = inf
2068: ( 1280, 640) = inf
2073: ( 1282, 641) = inf
2074: ( 1284, 642) = inf
2077: ( 1286, 643) = inf
2078: ( 1288, 644) = inf
2130: ( 1290, 645) = inf
2135: ( 1292, 646) = inf
2137: ( 1294, 647) = inf
2138: ( 1296, 648) = inf
2139: ( 1298, 649) = inf
2140: ( 1300, 650) = inf
2143: ( 1302, 651) = inf
2145: ( 1304, 652) = inf
2146: ( 1306, 653) = inf
2148: ( 1308, 654) = inf
2152: ( 1310, 655) = inf
2153: ( 1312, 656) = inf
2154: ( 1314, 657) = inf
2155: ( 1316, 658) = inf
2156: ( 1318, 659) = inf
2159: ( 1320, 660) = inf
2166: ( 1322, 661) = inf
2169: ( 1324, 662) = inf
2170: ( 1326, 663) = inf
2172: ( 1328, 664) = inf
2173: ( 1330, 665) = inf
2174: ( 1332, 666) = inf
2175: ( 1334, 667) = inf
2176: ( 1336, 668) = inf
2177: ( 1338, 669) = inf
2178: ( 1340, 670) = inf
2179: ( 1342, 671) = inf
2180: ( 1344, 672) = inf
2181: ( 1346, 673) = inf
2184: ( 1348, 674) = inf
2185: ( 1350, 675) = inf
2192: ( 1352, 676) = inf
2199: ( 1354, 677) = inf
2200: ( 1356, 678) = inf
2201: ( 1358, 679) = inf
2202: ( 1360, 680) = inf
2208: ( 1362, 681) = inf
2210: ( 1364, 682) = inf
2211: ( 1366, 683) = inf
2213: ( 1368, 684) = inf
2214: ( 1370, 685) = inf
2215: ( 1372, 686) = inf
2216: ( 1374, 687) = inf
2217: ( 1376, 688) = inf
2218: ( 1378, 689) = inf
2226: ( 1380, 690) = inf
2227: ( 1382, 691) = inf
2228: ( 1384, 692) = inf
2229: ( 1386, 693) = inf
2231: ( 1388, 694) = inf
2232: ( 1390, 695) = inf
2233: ( 1392, 696) = inf
2234: ( 1394, 697) = inf
2235: ( 1396, 698) = inf
2244: ( 1398, 699) = inf
2254: ( 1400, 700) = inf
2255: ( 1402, 701) = inf
2256: ( 1404, 702) = inf
2257: ( 1406, 703) = inf
2258: ( 1408, 704) = inf
2259: ( 1410, 705) = inf
2260: ( 1412, 706) = inf
2261: ( 1414, 707) = inf
2262: ( 1416, 708) = inf
2263: ( 1418, 709) = inf
2264: ( 1420, 710) = inf
2265: ( 1422, 711) = inf
2266: ( 1424, 712) = inf
2269: ( 1426, 713) = inf
2282: ( 1428, 714) = inf
2283: ( 1430, 715) = inf
2284: ( 1432, 716) = inf
2285: ( 1434, 717) = inf
2286: ( 1436, 718) = inf
2288: ( 1438, 719) = inf
2291: ( 1440, 720) = inf
2293: ( 1442, 721) = inf
2295: ( 1444, 722) = inf
2300: ( 1446, 723) = inf
2303: ( 1448, 724) = inf
2304: ( 1450, 725) = inf
2305: ( 1452, 726) = inf
2306: ( 1454, 727) = inf
2307: ( 1456, 728) = inf
2308: ( 1458, 729) = inf
2326: ( 1460, 730) = inf
2344: ( 1462, 731) = inf
2348: ( 1464, 732) = inf
2350: ( 1466, 733) = inf
2352: ( 1468, 734) = inf
2353: ( 1470, 735) = inf
2354: ( 1472, 736) = inf
2355: ( 1474, 737) = inf
2357: ( 1476, 738) = inf
2360: ( 1478, 739) = inf
2362: ( 1480, 740) = inf
2363: ( 1482, 741) = inf
2364: ( 1484, 742) = inf
2365: ( 1486, 743) = inf
2367: ( 1488, 744) = inf
2368: ( 1490, 745) = inf
2369: ( 1492, 746) = inf
2370: ( 1494, 747) = inf
2372: ( 1496, 748) = inf
2373: ( 1498, 749) = inf
2390: ( 1500, 750) = inf
2392: ( 1502, 751) = inf
2394: ( 1504, 752) = inf
2397: ( 1506, 753) = inf
2413: ( 1508, 754) = inf
2415: ( 1510, 755) = inf
2416: ( 1512, 756) = inf
2417: ( 1514, 757) = inf
2418: ( 1516, 758) = inf
2427: ( 1518, 759) = inf
2429: ( 1520, 760) = inf
2430: ( 1522, 761) = inf
2437: ( 1524, 762) = inf
2439: ( 1526, 763) = inf
2440: ( 1528, 764) = inf
2444: ( 1530, 765) = inf
2446: ( 1532, 766) = inf
2448: ( 1534, 767) = inf
2456: ( 1536, 768) = inf
2500: ( 1538, 769) = inf
2501: ( 1540, 770) = inf
2502: ( 1542, 771) = inf
2503: ( 1544, 772) = inf
2505: ( 1546, 773) = inf
2508: ( 1548, 774) = inf
2518: ( 1550, 775) = inf
2520: ( 1552, 776) = inf
2521: ( 1554, 777) = inf
2523: ( 1556, 778) = inf
2526: ( 1558, 779) = inf
2528: ( 1560, 780) = inf
2544: ( 1562, 781) = inf
2545: ( 1564, 782) = inf
2546: ( 1566, 783) = inf
2547: ( 1568, 784) = inf
2548: ( 1570, 785) = inf
2549: ( 1572, 786) = inf
2550: ( 1574, 787) = inf
2551: ( 1576, 788) = inf
2553: ( 1578, 789) = inf
2554: ( 1580, 790) = inf
2556: ( 1582, 791) = inf
2557: ( 1584, 792) = inf
2570: ( 1586, 793) = inf
2571: ( 1588, 794) = inf
2572: ( 1590, 795) = inf
2573: ( 1592, 796) = inf
2574: ( 1594, 797) = inf
2575: ( 1596, 798) = inf
2576: ( 1598, 799) = inf
2579: ( 1600, 800) = inf
2583: ( 1602, 801) = inf
2584: ( 1604, 802) = inf
2585: ( 1606, 803) = inf
2586: ( 1608, 804) = inf
2587: ( 1610, 805) = inf
2588: ( 1612, 806) = inf
2589: ( 1614, 807) = inf
2590: ( 1616, 808) = inf
2591: ( 1618, 809) = inf
2592: ( 1620, 810) = inf
2593: ( 1622, 811) = inf
2594: ( 1624, 812) = inf
2595: ( 1626, 813) = inf
2596: ( 1628, 814) = inf
2599: ( 1630, 815) = inf
2600: ( 1632, 816) = inf
2601: ( 1634, 817) = inf
2604: ( 1636, 818) = inf
2605: ( 1638, 819) = inf
2606: ( 1640, 820) = inf
2610: ( 1642, 821) = inf
2611: ( 1644, 822) = inf
2612: ( 1646, 823) = inf
2613: ( 1648, 824) = inf
2614: ( 1650, 825) = inf
2625: ( 1652, 826) = inf
2628: ( 1654, 827) = inf
2629: ( 1656, 828) = inf
2630: ( 1658, 829) = inf
2631: ( 1660, 830) = inf
2632: ( 1662, 831) = inf
2633: ( 1664, 832) = inf
2634: ( 1666, 833) = inf
2635: ( 1668, 834) = inf
2636: ( 1670, 835) = inf
2637: ( 1672, 836) = inf
2638: ( 1674, 837) = inf
2639: ( 1676, 838) = inf
2640: ( 1678, 839) = inf
2641: ( 1680, 840) = inf
2642: ( 1682, 841) = inf
2643: ( 1684, 842) = inf
2644: ( 1686, 843) = inf
2645: ( 1688, 844) = inf
2646: ( 1690, 845) = inf
2647: ( 1692, 846) = inf
